question,answer
effects of salt of epson to diabetes?,"While Epsom salt baths can be relaxing, they are not recommended for people with diabetes. Epsom salt is made up of magnesium sulfate. Why does that matter? When Epsom salts are added to a warm bath, some magnesium can be absorbed through the skin, causing an increased release of insulin, leading to hypoglycemia (low blood sugar)."
what is streptomycin,Streptomycin is an antibiotic produced by the soil actinomycete Streptomyces griseus. It acts by inhibiting the initiation and elongation processes during protein synthesis.
how to stop taking amlodipine,Continue to take amlodipine even if you feel well. Do not stop taking amlodipine without talking to your doctor.
drugs which stimulating brain ?,"Central nervous system stimulants used for attention deficit disorder, narcolepsy or excessive sleepiness include methylphenidate, atomoxetine, modafinil, armodafinil and the amphetamines. Stimulants that are no longer used for medical conditions, but that are abused, include cocaine and ecstasy or methylenedioxymetamphetamine (MDMA)."
show me omeprazole,Color: BROWN; Shape: OVAL; Size: 12mm; Imprint Code: 20
what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide,Esidrix®¶    Hydrodiuril®¶    Microzide®    Oretic®    Zide®¶
is it ok to take a probiotic when taking an antibiotic?,"Taking probiotics during antibiotic treatment can reduce the risk of diarrhea, although the two should be taken a few hours apart. Probiotics can also help restore the gut bacteria after antibiotics."
how often do you need a shingles vaccine,"Shingles Vaccine (recombinant)  Two doses, 2 to 6 months apart, are recommended for adults 50 and older.  This vaccine is also recommended for people who have already gotten the live shingles vaccine (Zostavax). There is no live virus in this vaccine."
famotidine 10 mg?,"relieves heartburn associated with acid indigestion and sour stomach
prevents heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages"
how long can i take raloxifene,"the Raloxifene Use for The Heart (RUTH) trial, that evaluated as primary endpoint the effect of raloxifene on cardiovascular events in 10,101 postmenopausal women for a median of 5.6 years (mean age 67.5 years), clearly demonstrates the benefits of raloxifene in older women in the prevention of clinical vertebral fracture (−35%, p = 0.007), but not for nonvertebral fractures (p > 0.05 versus placebo), irrespective of presence or absence of risk factors for fracture.48,49"
"how much ethanol alcohol is in 2 puffs of ""proair?""","After 2 puffs (30 s between puffs), breathalyser BAC results were as follows: 0.008% (1 min) and 0 at 2 min"
how long can i take miralax,Stop use and ask a doctor if ...  you need to use a laxative for longer than 1 week
can i have allergie test when taking methylprednisolone?,May suppress reactions to skin tests
what is usual infusion time for cetuximab injecetion,Administer 400 mg/m2 initial dose as a 120-minute intravenous infusion followed by 250 mg/m2 weekly infused over 60 minutes.
what does memantine look like,"Color - GRAY, Shape - CAPSULE (biconvex), Score - no score, Size - 12mm, Imprint Code - m10"
can i drink voltarel or cataflam when i drink medrol,"Methylprenisolone (oral route) ... Using this medicine with any of the following medicines is usually not recommended, but may be required in some cases. If both medicines are prescribed together, your doctor may change the dose or how often you use one or both of the medicines. … Diclofenac"
what is the length of entecavir treatment,The optimal duration of treatment with entecavir tablets for patients with chronic hepatitis B virus infection and the relationship between treatment and long-term outcomes such as cirrhosis and hepatocellular carcinoma are unknown.
what are tne side effects of carprofen,"… vomiting (4%), diarrhea (4%), changes in appetite (3%), lethargy (1.4%), behavioral changes (1 %), and constipation (0.3%)…."
what pill is close to the pill hyoscyamine for bloating food to more faster,Unanswerable
how to inject insulin,"Your doctor will tell you which type(s) of insulin to use, how much insulin to use, and how often to inject insulin. Follow these directions carefully. Do not use more or less insulin or use it more often than prescribed by your doctor."
taken off this medicine / how might it affect me? palmarosa?,"It is most useful during convalescence and cools the body of fever, while aiding the digestive system, helping to clear intestinal infection, digestive atonia and anorexia nervosa. It is effective in relieving sore, stiff muscles."
what are the active ingredients in bimatoprost,Active Ingredient/Active Moiety: Ingredient Name  bimatoprost (UNII: QXS94885MZ) (bimatoprost - UNII:QXS94885MZ)
can you use fluorouracil past expiration date?,Do not use Carac after the expiration date on the tube.
testosterone over counter?,"NATURAL TESTOSTERONE- avena sativa. epimedium, lycopodium clavatum, damiana, testosterone, agnus castus spray"
brimonidine interaction with herbal supplements?,"Yohimbe: The active ingredients in yohimbine can block the actions of brimonidine in certain human tissues, thus reducing the drug's beneficial effects. Adequate human studies involving the eye are lacking, and until more information is available, yohimbine should be avoided in people using brimonidine. The interaction is supported by preliminary, weak, fragmentary, and/or contradictory scientific evidence."
what should i do if i just started taking an antibiotic and i am experiencing diahreea,"Call your doctor right away if you have serious signs and symptoms of antibiotic-associated diarrhea. These signs and symptoms are common to a number of conditions, so your doctor might recommend tests to determine the cause."
what is the difference between vitamin b12 1000 geltabs and vitamin b12 shots,The clinical evidence-based analysis has found that oral supplementation is as effective as intramuscular injections.
what is efudex?,"Efudex Solutions and Cream are topical preparations containing the fluorinated pyrimidine 5-fluorouracil, an antineoplastic antimetabolite."
trospium can i stop taking it?,"Angioedema of the face, lips, tongue and/or larynx has been reported with trospium chloride. In one case, angioedema occurred after the first dose of trospium chloride. Angioedema associated with upper airway swelling may be life threatening. If involvement of the tongue, hypopharynx, or larynx occurs, trospium chloride should be promptly discontinued"
